Price,Close,High,Low,Open,Volume
Ticker,OVV,OVV,OVV,OVV,OVV
Date,,,,,
2016-01-29,17.885337829589844,18.622033341850205,17.025858430901113,18.25368480508904,2999800
2016-02-01,17.844419479370117,17.885347985173418,16.780303308690037,17.189578999145894,2981220
2016-02-02,16.289167404174805,17.025863119298435,16.08452961879255,17.025863119298435,3872240
2016-02-03,18.540185928344727,18.826679184712447,15.838967365477998,17.06679426882881,5082380
2016-02-04,17.844419479370117,20.136364282680617,17.721637084485934,18.908537211313053,3538340
2016-02-05,18.212766647338867,18.458331415831605,17.14865056885337,17.394215337346107,3822100
2016-02-08,17.230504989624023,18.171840274560534,16.493809099847304,17.516998269332404,5122040
2016-02-09,15.67525863647461,17.721637089311056,15.470620791190964,16.69844786289283,4449200
2016-02-10,14.28371810913086,16.452878331792913,14.242789615110876,15.716182613319702,3343220
2016-02-11,14.120009422302246,14.365574179054617,13.301458151444145,13.792589226211534,5139180
2016-02-12,14.488359451293945,15.26598229337522,13.956299827288644,14.85670662030209,2679500
2016-02-16,14.73392105102539,15.102269701806007,13.956296815494069,15.102269701806007,1911000
2016-02-17,15.838964462280273,16.166384597573597,14.856702495137947,15.143195698992988,3375280
2016-02-18,14.406500816345215,16.5347341576114,14.324645387592199,16.49380566260367,5101220
2016-02-19,12.810322761535645,13.997222328979323,12.769395836283982,13.915366917213875,5597200
2016-02-22,13.506094932556152,13.587950365612029,12.93310924305881,13.383312563603601,2974460
2016-02-23,12.319198608398438,13.669808873870261,12.278270882663271,13.301460122885212,3779060
2016-02-24,15.0613431930542,15.225054073051728,12.76940024066476,13.096820439397158,9125720
2016-02-25,15.3478364944458,15.757112134297689,14.611140654964936,15.061343234296947,4251560
2016-02-26,16.166391372680664,17.107725241622127,15.757115641726724,15.838971100170115,4295480
2016-02-29,17.557924270629883,17.6397781435132,15.798037900912691,16.452879812817066,5043420
2016-03-01,17.598852157592773,17.885345411945647,16.53473614001082,17.885345411945647,4488440
2016-03-02,18.785755157470703,18.908537554583916,17.10772385938054,17.148652365926864,4569200
2016-03-03,20.177288055419922,20.586563681539037,18.499258612836588,18.703896425896147,4472040
2016-03-04,22.38737678527832,23.32871040150769,20.054505432875033,20.58656342802532,8429520
2016-03-07,24.965810775756836,25.088593139450687,22.182737099892172,22.428301827279878,6455780
2016-03-08,21.36418342590332,24.47467689457363,21.11861716600054,24.47467689457363,3995440
2016-03-09,22.26459503173828,23.165000174197164,21.323259828010592,22.05995721549533,3273760
2016-03-10,21.773466110229492,22.51016200918668,21.159552600888038,21.85532155706091,3867400
2016-03-11,23.02528190612793,23.928234475435836,22.614849062413157,22.614849062413157,2747540
2016-03-14,22.491722106933594,22.779025443683057,21.670856325179248,21.99920232474554,2157320
2016-03-15,22.409629821777344,22.450674040392332,21.342505188617224,21.876067505197284,2067320
2016-03-16,24.83119010925293,24.95431966442783,22.73798297424796,22.82006830057973,3831940
2016-03-17,25.323705673217773,26.06248444676225,25.20057613857319,25.85726803379562,5336600
2016-03-18,24.872228622436523,26.144571322090115,23.846146557720875,25.693094274209045,5190360
2016-03-21,24.543880462646484,25.241616516899395,24.05136080283991,24.584924680941853,2198020
2016-03-22,24.995361328125,25.2005777542486,24.05136451541479,24.256580941538385,2097200
2016-03-23,23.805103302001953,25.077444403941627,23.312583610204456,24.790142685596948,3725380
2016-03-24,24.379709243774414,24.4207518980045,21.999197722183716,22.450674747099182,3045000
2016-03-28,23.76405906677246,24.461793554280266,23.312582060275655,24.215534507592434,2006480
2016-03-29,24.01032066345215,24.50284037481221,22.450676215542796,22.943195926902856,2951060
2016-03-30,24.256582260131836,25.036405348063703,23.805106724388438,24.66701513469026,2149120
2016-03-31,24.995361328125,25.405794180372194,24.092408740045755,24.174495623630612,2922860
2016-04-01,24.995361328125,25.11849087066374,23.88719231392216,24.05136451541479,1909980
2016-04-04,24.133451461791992,25.282663137938833,23.88719237607377,24.995361393159936,2511280
2016-04-05,23.5588436126709,24.29762234788953,23.14841080802978,23.640928921057604,2363200
2016-04-06,24.297624588012695,24.6670132068394,23.55884578468224,23.969278627163273,2194800
2016-04-07,24.092405319213867,24.543880766310863,23.10736598741351,23.969275794158037,3620040
2016-04-08,24.584928512573242,25.241620450878102,24.502841628865866,24.831187598018296,3237480
2016-04-11,25.69308853149414,26.349780279862845,25.077439430269745,25.200570503055925,2892420
2016-04-12,28.40195083618164,28.93551477247094,25.980398057040635,26.10352759400085,3557020
